Номер;Дата підписання;Кількість;Рік;Назва угоди;галузь;місто;чинність;рік припинення;КОРОТКИЙ ЗМІСТ;Наявність на сайті ВР;Сфера дії договору;Загальна сфеа;Посилання на закон;темін припинення;актуальність;Рівень договоу;Тип договору;
 643_019;03.08.1992;11;1992;Меморандум про взаєморозуміння з питань консульських відносин між Україною і РФ від 03.08.92.;характеристики консульських відносин країн;Ялта;чинний;;консульські    відносини    між    країнами здійснюються  на  основі   положень   Віденської   Конвенції 1963 року;;міжнародна співпраця;міжнародні відносини;https://zakon.rada.gov.ua/laws/show/643_019;безстроково;неактуальні;міжнародні;меморандум;
 643_022;20.08.1992;12;1992;Угода між Урядом України і Урядом РФ про поставки природного газу і транзит газу через територію України від 20.08.92.;поставка газу Україні та транзитом через Україну в узгодженому режимі;н.а;чинний;;" Україна зобов'язується  забезпечувати   транзит   російського  природного  газу по своїй території в Республіку Молдова, Російська Федерація  в  1992  році  зобов'язується поставляти 
Україні природний газ в домовлених об'ємах ";;газ;нафто-газова промисловість;http://zakon.rada.gov.ua/laws/show/643_022;діє до 31 грудня 1992 року;неактуальні;міжурядові;угода;
643_024;24.09.1992;13;1992;Угода між Урядом України і Урядом РФ про співробітництво в галузі рибного господарства від 24.09.92.;оптимального   використання   і зберігання рибних ресурсів Чорного моря;Києві;чинний;;"сторони погоджуються  співробітничати з метою збереження, 
відтворення, управління і підтримки запасів анадромних видів риб в 
Азовському та Чорному морях на біологічно безпечному рівні";;рибне господаство;торгово-економічні відносини;https://zakon.rada.gov.ua/laws/show/643_024;5 років з  можливістю шестимісячним розриванням;неактуальні;міжурядові;угода;
643_901;03.10.1992;14;1992;Угода України і РФ про врегулювання боргових зобов’язань і кредитних вимог  від 03.10.92.;врегулювання боргових зобов'язань з введенням в обіг карбованця;Київ;чинний;;"сторони доручають  Урядам  і  центральним  банкам 
укласти   угоди   про   врегулювання   боргових 
зобов'язань і кредитних вимог країн";;боргові заборгованості;боргові заборгованості;https://zakon.rada.gov.ua/laws/show/643_901;безстрокова з трьома місяцями на розривання;неактуальні;міжнародні;угода;
643_900;03.10.1993;15;1992;Угода між Урядом України і Урядом РФ про порядок врегулювання боргових зобов’язань і кредитних вимог між Україною і РФ в зв’язку з введенням українського карбованця від 03.10.92.;борогові зобов'язання і кредити у рублях проводиться оплатою, яка діяла до запровадження рубля;Київ;чинний;;" сторони визнають необхідність повного  врегулювання  боргових 
зобов'язань  і  вимог  у  рублях,  які  наявні  на  дату  введення 
українського карбованця";;боргові заборгованості;боргові заборгованості;http://zakon.rada.gov.ua/laws/show/643_900;"діє за правилами  Угоди  України  і  Російської 
Федерації  по врегулюванню боргових зобов'язань і кредитних вимог, ";неактуальні;міжурядові;угода;
643_700;19.10.1992;16;1992;Угода між Урядом України і Урядом РФ про спільне використання і охорону транскордонних водних об’єктів від 19.10.92.;врегулювання заходів водного господарства прикордонних водних об'єктів;Київ;чинний;;"не  будуть  без домовленості  проводити  заходи  в  галузі  водного  господарства, визначають  принцип 
співробітництва щодо регулярного обміну інформацією, прогнозами по гідрології  та  якості  прикордонних  водних  систем; не  будуть  без домовленості  проводити  заходи  в  галузі  водного  господарства, визначають  принцип 
співробітництва щодо регулярного обміну інформацією, прогнозами по гідрології  та  якості  прикордонних  водних  систем; ";;водне господарство;торгово-економічні відносини;https://zakon.rada.gov.ua/laws/show/643_700;5 років з річним розриванням;неактуальні;міжурядові;угода;
н.а;22.10.1992;17;1992;Угода між Урядом України і Урядом РФ про взаємне встановлення торговельних представництв від 22.10.92.;торгово-економічних зв'язки між країнами через посередництво торгово-економічних представництв;Москва;чинний;;cторони взаємно засновують до кінця 1992 року в столицях обох держав торгові представництва;немає;торгово-економічні відносини;торгово-економічні відносини;http://docs.cntd.ru/document/901931225;не вказані умови розривання;неактуальні;міжурядові;угода;
643_027;02.11.1992;18;1992;Угода про зобов’язання урядів України і РФ, пов’язаних з гарантіями забезпечення і погашення банківського технічного кредиту від 02.11.92.;збільшення суми технічного кредиту Україні;Москва;чинний;;"збільшення технічного кредиту  Міндержресурсів  України  з  ""Росконтрактом""  Угоди на 
централізовані поставки  з  України  найважливіших  (стратегічних) 
товарів за погодженим переліком, обсягами та цінамизбільшення технічного кредиту  Міндержресурсів  України  з  ""Росконтрактом""  Угоди на 
централізовані поставки  з  України  найважливіших  (стратегічних) 
товарів за погодженим переліком, обсягами та цінами";;кредитно-фінансове співробітництво;боргові заборгованості;http://zakon.rada.gov.ua/laws/show/643_027;не вказані умови розривання;неактуальні;міжурядові;угода;
 643_023;23.11.1992;19;1992;Протокол між Урядом України і Урядом РФ з питань зовнішнього боргу і активів колишнього СРСР від 23.11.92.;закордонна власність від СРСР;Москва;чинний;;"Сторони домовились  про передачу  Україні  окремих будівель і приміщень для розташування і нормального функціонування дипломатичних,  консульських і торгових представництв  з  прилеглими до них земельними ділянками,  а також 
іншого майнаСторони домовились  про передачу  Україні  окремих будівель і приміщень для розташування і нормального функціонування дипломатичних,  консульських і торгових представництв  з  прилеглими до них земельними ділянками,  а також 
іншого майна";;закордонна власність СРСР;боргові заборгованості;http://zakon.rada.gov.ua/laws/show/643_023;не вказані умови розривання;неактуальні;міжурядові;протокол;Україна не отримал аінформацію про власні зовнішні активи від СРСР
643_030;27.11.1992;20;1992;Угода між Урядом України і Урядом РФ про забезпечення розрахунків за взаємні поставки товарів для державних потреб від 27.11.92.;товарні поставки;Москва;чинний;;"Центральний банк Російської Федерації здійснить з
Національним банком України обмін 40 млрд. Рублів на 60 млрд.
українських карбованців Центральний банк Російської Федерації здійснить з
Національним банком України обмін 40 млрд. Рублів на 60 млрд.
українських карбованців ";;;торгово-економічні відносини;http://zakon.rada.gov.ua/laws/show/643_030;;неактуальні;міжурядові;угода;
?;12.12.1992;21;1992;Угода та Протокол до неї між Мінмашпромом України і Мінпромом РФ про співробітництво в авіадвигунобудуванні від 12.12.92.;;;немає в базі;;;немає;авіація;авіа та суднобудування;;;неактуальні;міжвідомчі;угода ;
 643_262;16.12.1992;22;1992;Угода між Урядом України і Урядом РФ про спільне виробництво парогазових установок для теплових електростанцій від 16.12.92.;створення проектів з розробки теплових електростанцій;Москва;чинний;;"створення екологічно чистих технологій на основі створюваних 
паро-газових  установок  під час будівництва нових і реконструкції 
діючих теплових електростанцій в Україні та в Росіїстворення екологічно чистих технологій на основі створюваних 
паро-газових  установок  під час будівництва нових і реконструкції 
діючих теплових електростанцій в Україні та в Росії";;електроенергетика;торгово-економічні відносини;https://zakon.rada.gov.ua/laws/show/643_262;не вказані умови розривання;неактуальні;міжурядові;угода;
643_031;22.12.1992;23;1992;Угода між Урядом України і Урядом РФ про реалізацію на території України програми житлового будівництва для виведених з Германії органів управління, частин і підрозділів Західної групи військ від 22.12.92;цивільне житло для військових з ФРН;Москва;чинний;;"на територію України виведено в запланованому  порядку 
7,4%  офіцерів  та  прапорщиків від загальної чисельності Західної 
групи військ. Вивід військ повністю завершено.на територію України виведено в запланованому  порядку 
7,4%  офіцерів  та  прапорщиків від загальної чисельності Західної 
групи військ. Вивід військ повністю завершено.";;соціальна політика;культурно-гуманітарна сфера;https://zakon.rada.gov.ua/laws/show/643_031;не вказані умови розривання;неактуальні;міжурядові;угода;
 643_068;14.01.1993;1;1993;Угода між Урядом України та Урядом Російської Федерації про неторгові платежі (укр/рос);взаєморозрахунки з нетоварних операцій;Москва;чинний;;"можливість вільного  переказу  грошей  в  національних  валютах  з 
неторгових операцій,  перелік і умови здійснення яких визначаються 
міністерствами фінансів Сторін можливість вільного  переказу  грошей  в  національних  валютах  з 
неторгових операцій,  перелік і умови здійснення яких визначаються 
міністерствами фінансів Сторін ";;економіка;торгово-економічні відносини;http://zakon.rada.gov.ua/laws/show/643_068;безстроково з трьохмісячним розриванням;актуально;міжурядові;угода;
643_033;14.01.1993;2;1993;Угода між Урядом України і Урядом РФ про науково-технічне і економічне співробітництво в галузі атомної енергетики від 14.01.93.;атомна енергетика;Москва;чинний;;" метою вироблення погодженої політики в 
галузі  розвитку  атомної  енергетики  своїх   держав,   створення 
сприятливих  умов  для  грошових розрахунків за роботи,  послуги і 
продукцію,  у  відповідності  з  потребами   і   пріоритетами   їх 
національних ядерних програм метою вироблення погодженої політики в 
галузі  розвитку  атомної  енергетики  своїх   держав,   створення 
сприятливих  умов  для  грошових розрахунків за роботи,  послуги і 
продукцію,  у  відповідності  з  потребами   і   пріоритетами   їх 
національних ядерних програм";;атомна енергетика;ракетно-космічна  техніка;http://zakon.rada.gov.ua/laws/show/643_033;безстроково;неактуально;міжурядові;угода;https://www.ukrinform.ua/rubric-economy/2406172-atomna-energetika-ukraini-casu-dla-subektivnih-ocinok-ne-zalisilosa.html
 643_266;14.01.1993;3;1993;Угода між Урядом України і Урядом РФ про трудову діяльність і соціальний захист громадян України і Росії, які працюють за межами кордонів своїх держав від 14.01.93.;трудова діяльність на території іншої країни регулюються законодавством цієї Сторони;Москва;чиннний;;поширюється  на  осіб   та  членів  їх сімей,  які є громадянами або постійно проживають на території однієї  із  Сторін   та  здійснюють свою трудову діяльність на умовах найму на території іншої  Сторони ;;трудова політика;правове регулювання;http://zakon.rada.gov.ua/laws/show/643_266;1 рік з шестимісячним розриванням;актуально;міжурядові;угода;
643_004;15.01.1993;4;1993;Тимчасова угода між Урядом України і Урядом РФ про гарантії прав громадян, які працювали в районах Крайньої Півночі та місцевостях, які прирівняні до районів Крайньої Півночі, в галузі пенсійного забезпечення від 15.01.93.;пенсійне забезпечення громадян держав, які працювали в районах Крайньої Півночі;Москва;чинний;;особи, які  пропрацювали  не менше 15 календарних років у районах Крайньої Півночі або не менше 20 календарних років у  місцевостях,  які  прирівняні  до  районів Крайньої Півночі,  незалежно від місця їх постійного проживання на території обох держав  мають  право  на  пенсію  по  старості ;;соціальна політика;культурно-гуманітарна сфера;http://zakon.rada.gov.ua/laws/show/643_004;"діє 
до укладення між Сторонами угоди про соціальне забезпеченнядіє 
до укладення між Сторонами угоди про соціальне забезпечення";неактуально;міжурядові;угода;
643_036;15.01.1993;5;1993;Угода між Урядом України і Урядом РФ про співробітництво в галузі кораблебудування та судноремонту від 15.01.93.;Українська сторона завершує побудову кораблів, суден, зразків озброєння і військової техніки та технічних засобів для військово-морського флоту Російської федерації;Москва;чинний;;cторони зобов'язуються передбачити співпрацю з розробки проектів кораблів, суден і плавучих технічних засобів, взаємних поставок озброєння і військової техніки, науково-технічного супроводу проектів, спостереження за будівництвом кораблів, суден і плавучих технічних засобів і проведення їх випробувань за узгодженими планами.;;суднобудування;авіа та суднобудування;http://zakon.rada.gov.ua/laws/show/643_036;не вказані умови розривання;неактуально;міжурядові;угода;
643_039;15.01.1993;6;1993;Угода між Урядом України і Урядом РФ про заходи по врегулюванню взаємної заборгованості господарських організацій за продукцію, що поставлена до 1 січня 1993 року, і організації розрахунків за продукцію, що централізовано закупається в 1993 р. від 15.01.93.;погашення боргових заборгованостей за рахунок обміну продукції енергоносії за машинобудування і сг;Москва;чинний;;погашення державними підприємствами та організаціями Російської Федерації та України взаємної заборгованості за фактично отриману продукцію, що числиться на їхніх балансах станом на 1 січня 1993 р., визначивши при цьому джерела та порядок здійснення оплати.;;боргові зобов'язання;боргові заборгованості;http://zakon3.rada.gov.ua/laws/show/643_039?lang=ru;не вказані умови розривання;неактуально;міжурядові;угода;
643_115;16.01.1993;7;1993;Протокол про схему обслуговування боргу колишнього СРСР Україною і Росією від 16.01.93.;боргові зобовязання за зовнішні активи СРСР;Москва;чинний;;"Україна та Росія будуть окремо відповідальні за 
обслуговування зовнішнього боргу колишнього СРСРУкраїна та Росія будуть окремо відповідальні за 
обслуговування зовнішнього боргу колишнього СРСР";;боргові/кредитні зобов'язання;боргові заборгованості;http://zakon.rada.gov.ua/laws/show/643_115;не вказані умови розривання;неактуально;міжнародні;протокол;
643_289;05.02.1993;8;1993;Угода про порядок використання технічного кредиту і організації розрахунків за  що централізовано закупається в 1993 році від 05.02.93;технічний кредит Україні у сумі до 250 мільярдів карбованців ;Москва;чинний;;"використання кредиту  буде  здійснюватися   виключно   шляхом 
сплати  платіжних  доручень  Національного  банку  України  з його кореспондентського  рахункувикористання кредиту  буде  здійснюватися   виключно   шляхом 
сплати  платіжних  доручень  Національного  банку  України  з його кореспондентського  рахунку";;технічний кредит;боргові заборгованості;http://zakon.rada.gov.ua/rada/show/643_289;не вказані умови розривання;неактуально;міжнародні;угода;
643_287;08.02.1993;9;1993;Угода між Урядом України і Урядом РФ про принципи співробітництва в галузі виробництва і поставок авіаційної техніки  від 08.02.93;"cпівробітництво між підприємствами та організаціями України і 
Росії,  які беруть участь  в  розробці  і  виробництві  авіаційної 
техніки ";Москва;чинний;;"сприяти  збереженню  і  розвитку кооперованих 
галузей і міжгалузевих зв'язків в галузі  науково-дослідницьких  і 
дослідно-конструкторських    робіт,    авторського   супроводження 
розробок,   поставок   сировини,   матеріалів,    напівфабрикатів, 
комплектуючих  виробів";;авіація та повітряна оборона;авіа та суднобудування;http://zakon.rada.gov.ua/laws/show/643_287;безстрокова з трьома місяцями на розривання;актуально;міжурядові;угода;
643_068;14.01.1993;10;1993;Угода між Міністерством фінансів України і Міністерством фінансів РФ про неторгові платежі від 14.01.93.;"вільний  переказ  грошей  в  національних  валютах  з 
неторгових операцій";Москва;чинний;;забезпечеть фізичним та юридичним особам можливість переказу грошей в національних валютах з неторгових операцій;;економіка;торгово-економічні відносини;http://zakon.rada.gov.ua/laws/show/643_068;безстроково з трьохмісячним розриванням;актуально;міжвідомчі;угода;
643_100;14.05.1993;11;1993;Угода між Урядом України і Радою Міністрів - Урядом РФ про координацію діяльності залізничного транспорту від 14.05.93;залізничне перевезення пасажирів і вантажів  із України в Росію і навпаки;Москва;чинний;; виготовлення і  утримання  рухомого складу, технічних засобів, забезпечення безпеки руху та збереження вантажів, організація перевізної роботи здійснюється по погоджених Сторонами нормативах;;;переміщення через кордон;http://zakon.rada.gov.ua/laws/show/643_100;безстроково з трьохмісячним розриванням;актуально;міжурядові;угода;
643_122;21.05.1993;12;1993;Угода між Генеральною прокуратурою України і прокуратурою Російської Федерації про правову допомогу і співробітництво від 21.05.93;правова допомога  прокуратур України і РФ;Москва;припинений;2010;"надавати правову допомогу  і з інших питань прокурорської  діяльності, обмін досвідом роботи, статистичною інформацією,   методичними   розробками,   відомостями  про  чинне законодавство і  законопроекти,  що  розробляються,  у  підвищенні кваліфікації    працівників   прокуратур,   матеріально-технічному забезпеченні. 
";;законодавство;правове регулювання;http://zakon.rada.gov.ua/laws/show/643_122;втратив чинність;втратив чинність;міжвідомчі;угода;
643_049;24.06.1993;13;1993;Угода між Урядом України та Урядом РФ про державний кредит на 1993 рік від 24.06.93.;РФ надала Україні державний кредит з терміном погашення  1996 року;Київ;чинний;;" Уряд Російської  Федерації  надає  Уряду  України в 1993 році 
державний кредит в розмірі до 250 млрд. рублів для оплати поставок 
товарів і послуг із Російської Федерації ";;державний кредит;боргові заборгованості;http://zakon.rada.gov.ua/laws/show/643_049;до дати виконаня умов;неактуально;міжурядові;угода;
643_041;26.05.1993;14;1993;Угода між Урядом України та Урядом РФ про державний кредит за результатами торгово-економічних відносин у 1992-1993 роках від 26.05.93;РФ переформляє заборгнованість в  державний кредит з терміном погашення  1999 року;Москва;редакція ;1997;"переоформлюють в державний кредит заборгованості в сумі 1050
млрд. рублів, що утворилася в зв'язку з отриманням Української
Стороною технічних (платіжних) кредитів за кореспондентськими
рахунках Національного банку України в Центральному банку Російської
Федерації";;боргові зобов'язання;боргові заборгованості;http://zakon.rada.gov.ua/laws/show/643_041/sp:wide-;до дати виконаня умов;неактуально;міжурядові;угода;
н.а;26.05.1994;15;1993;"Угода між Урядом України і Урядом РФ про співробітництво в галузі зв’язку від 26.05.93.
 
";створення взаємовигідних умов в галузі зв'язку;Київ;чинний;;відносини в галузі зв'язку відповідно до загальноприйнятих норм і принципів міжнародного права;немає;галузь зв'язку;інформаційно-комунікаційна сфера;https://www.lawmix.ru/abro/9154;безстроково з трьохмісячним розриванням;актуально;міжурядові;угода;
643_996;24.06.1993;16;1993;Угода між Урядом України і Урядом РФ про подальше співробітництво в забезпеченні розробки, спільного серійного виробництва та поставок в експлуатацію оперативно-тактичного військового літака Ан-70 і транспортного літака Ан-70Т з двигунами Д-27 від 24.06.93.;продовження  роботи  по  створенню  літаків  Ан-70 і  Ан-70Т;Москва;редакція  ;2009;"Уряд України  через  свої  компетентні  установи  забезпечить 
розробку  та  організацію  серійного  виробництва  літаків  Ан-70, 
Ан-70Т,  двигуна  Д-27  та  комплектуючих виробів до них,  а також 
підготовку до сертифікації цих літаків та двигуна на підприємствах 
України. Уряд  Російської  Федерації  через  свої компетентні установи 
забезпечить  надання  технічного  сприяння  Українській  Стороні в 
розробці,  сертифікації  літаків";;авіаційна промисловість;авіа та суднобудування;http://zakon.rada.gov.ua/laws/show/643_996;"а  весь  період  серійного   випуску 
літаків Ан-70 та Ан-70Т";актуально;міжурядові;угода;
643_052;24.06.1993;17;1993;Угода між Урядом України і Урядом РФ про співробітництво в розвитку нафтової і газової промисловості Росії від 24.06.93.;заходи по розробці програм в нафтовій та газовій промисловості;Київ;чинний;;Сторони на основі взаємної вигоди, взаємодопомоги і утримуючись від дій, які можуть завдати економічної шкоди одна одній, будуть всебічно розвивати співробітництво в нафтовій і газовій промисловості;;нафто-газова промисловість;нафто-газова промисловість;http://zakon.rada.gov.ua/laws/show/643_052;безстроково з річним терміном розривання;актуально;міжурядові;угода;
;25.06.1993;18;1993;Протокол між Урядом України і Урядом РФ про зміну об’ємів дозвільних квот поставки нафти в Україну в 1993 році від 24.06.93.;нафто-газові квоти збільшать на 2,6 млн тонн на поставку в Україну;Київ;чинний;; прохання Уряду України, збільшити на 2,6 млн. тонн дозвільну квоту на поставку Україні нафти, передбачену додатком;немає;нафто-газова промисловість;нафто-газова промисловість;http://uazakon.com/document/tpart09/isx09222.htm;не вказані умови розривання;неактуально;міжурядові;протокол;
