№,Номер,Дата підписання,Кількість документів ,Рік,Назва угоди,ціль,місто,чинність,рік припинення,КОРОТКИЙ ЗМІСТ,Наявність на сайті ВР,Сфера дії договору,галузь,Загальна сфеа,Код ,Код 2,Посилання на закон,темін припинення,актуальність,виконання,Рівень договоу,Тип договору,З якою угодою пов'язана з цієї бази,З якою угодою пов'язана з цієї бази,З якою угодою пов'язана з цієї бази,
450,,20.07.1992,11,1992,Угода про співробітництво та взаємодію між Службою безпеки України і Міністерством безпеки РФ від 20 липня 1992 року,,,припинений 2015,2015,,,,,оборона,6,-1,,,,,,,,,,
11,643_415,21.07.1992,12,1992,Протокол між Державним митним комітетом України та Державним митним комітетом РФ про митне оформлення транзитних вантажів від 21.07.92.,митне оформлення транзитних вантажів,Мінськ,чинний,,"транзитні вантажі звільняються від митного оформлення, вантажі, які ввозяться підлягають митногому оформленню",,митниця,митне оформлення транзитних вантажів,митниця,2,2,https://zakon.rada.gov.ua/laws/show/643_415,безстроково з трьохмісячним розриванням,актуальні,,міжвідомчі,протокол,0,,,
12,643_020,03.08.1992,13,1992,Угода між Україною та РФ про принципи формування ВМС України і ВМС РФ на Чорноморського флоту колишнього СРСР ,"розподіл Чорноморський флот   між   Договірними 
Сторонами, та підпорядування президентам ДС на перехідний період ",Ялта,чинний,,"протягом  перехідного   періоду   Договірні  Сторони  спільно 
використовують існуючу систему базування  та  матеріально-технічне 
забезпечення ЧФ",є,чорноморський флот,,Чорноморський флот та Азовське море,1,1,https://zakon.rada.gov.ua/laws/show/643_020,до закінчення перехідного періоду -1995 року,неактуальні,виконано,міжнародні,угода,643_018,,,
13,643_023,03.08.1992,14,1992,"Угода між Урядом України і Урядом РФ про реалізацію права на закордонну власність колишнього СРСР для цілей дипломатичних, консульських і торгових представництв від 03.08.92.",частка закордонної власності СРСР переходить Україні,Ялта,чинний,,"будівлі і приміщення дипломатичних,  консульських і  торгових 
представництв  колишнього Союзу РСР  передається  у  користування  Україні  у відповідності  з  шкалою  фіксованих  часток  (16,37%)  в  активах колишнього Союзу РСР",,дипломатичні відносини,частка закордонної власності СРСР переходить Україні,міжнародні відносини,11,11,http://zakon.rada.gov.ua/laws/show/643_023,безстроково,неактуальні,порушується,міжурядові,угода,643_018,,,
14, 643_019,03.08.1992,15,1992,Меморандум про взаєморозуміння з питань консульських відносин між Україною і РФ від 03.08.92.,характеристики консульських відносин країн,Ялта,чинний,,консульські    відносини    між    країнами здійснюються  на  основі   положень   Віденської   Конвенції 1963 року,,міжнародна співпраця,характеристики консульських відносин країн,міжнародні відносини,11,11,https://zakon.rada.gov.ua/laws/show/643_019,безстроково,неактуальні,,міжнародні,меморандум,643_011,643_018,,
15, 643_022,20.08.1992,16,1992,Угода між Урядом України і Урядом РФ про поставки природного газу і транзит газу через територію України від 20.08.92.,поставка газу Україні та транзитом через Україну в узгодженому режимі,н.а,чинний,," Україна зобов'язується  забезпечувати   транзит   російського  природного  газу по своїй території в Республіку Молдова, Російська Федерація  в  1992  році  зобов'язується поставляти 
Україні природний газ в домовлених об'ємах, зреекспорт заборнений.",,газ,поставка газу Україні та транзитом через Україну в узгодженому режимі,нафто-газова промисловість,3,3,http://zakon.rada.gov.ua/laws/show/643_022,діє до 31 грудня 1992 року,неактуальні,виконано,міжурядові,угода,,,,
16,643_021,03.09.1992,17,1992,Угода між Україною і РФ про військово-морську символіку Чорноморського флоту на перехідний період,"опис  Військово-морського прапора Чорноморського флоту на 
перехідний період",Київ,чинний,,"На перехідний період з 1 жовтня 1992 року  кораблі  та  судна Чорноморського флоту  як  основний  (кормовий)  військово-морський прапор несуть  Військово-морський  прапор  Чорноморського   флоту, опис якого міститься у Додатку до цієї Угоди",,чорноморський флот,,Чорноморський флот та Азовське море,1,1,https://zakon.rada.gov.ua/laws/show/ru/643_021,діє до 31 грудня 1992 року,неактуальні,вионано,міжнародні,угода,643_020 ,,,
17,643_024,24.09.1992,18,1992,Угода між Урядом України і Урядом РФ про співробітництво в галузі рибного господарства від 24.09.92.,оптимальне  використання   і зберігання рибних ресурсів Чорного моря,Києві,чинний,,"сторони погоджуються  співробітничати з метою збереження, 
відтворення, управління і підтримки запасів анадромних видів риб в 
Азовському та Чорному морях на біологічно безпечному рівні",,рибне господаство,оптимальне  використання   і зберігання рибних ресурсів Чорного моря,торгово-економічні відносини,10,10,https://zakon.rada.gov.ua/laws/show/643_024,5 років з  можливістю шестимісячним розриванням,неактуальні,,міжурядові,угода,,,,
18,643_901,03.10.1992,19,1992,Угода України і РФ про врегулювання боргових зобов’язань і кредитних вимог  від 03.10.92.,врегулювання боргових зобов'язань з введенням в обіг карбованця,Київ,чинний,,"сторони доручають  Урядам  і  центральним  банкам 
укласти   угоди   про   врегулювання   боргових 
зобов'язань і кредитних вимог країн",,боргові заборгованості,врегулювання боргових зобов'язань з введенням в обіг карбованця,заборгованості,5,5,https://zakon.rada.gov.ua/laws/show/643_901,безстрокова з трьома місяцями на розривання,неактуальні,виконано,міжнародні,угода,,,,
19,643_900,03.10.1992,20,1992,Угода між Урядом України і Урядом РФ про порядок врегулювання боргових зобов’язань і кредитних вимог між Україною і РФ в зв’язку з введенням українського карбованця від 03.10.92.,"борогові зобов'язання і кредити у рублях проводиться оплатою, яка діяла до запровадження рубля",Київ,чинний,," сторони визнають необхідність повного  врегулювання  боргових 
зобов'язань  і  вимог  у  рублях,  які  наявні  на  дату  введення 
українського карбованця",,боргові заборгованості,"борогові зобов'язання і кредити у рублях проводиться оплатою, яка діяла до запровадження рубля",заборгованості,5,5,http://zakon.rada.gov.ua/laws/show/643_900,"діє за правилами  Угоди  України  і  Російської 
Федерації  по врегулюванню боргових зобов'язань і кредитних вимог, ",неактуальні,виконано,міжурядові,угода,643_901 ,,,
20,643_177,03.10.1992,21,1992,Угода між Урядом України про торгово-економічноме співробітництво на 1993 рік,"зміцнення і розвитку торговельно-економічних відносин 
між двома державами",Київ,припинений 1994,1994,"торговельно-економічне співробітництво між Україною і  Росією грунтується   на   принципах  рівноправності,  взаємної  вигоди  і здійснюється  шляхом  укладення   договорів   між   державними   і територіальними органами,  суб'єктами,  що господарюють, незалежно від їх форм власності, з додержанням законодавств, що діють в обох державах",,торгово-економічні відносини,,торгово-економічні відносини,10,10,https://zakon.rada.gov.ua/laws/show/ru/643_177,до 31 грудня 1993,неактуальні,,міжнародні,угода,0,,,
21,643_945,03.10.1992,22,1992,Угода між Національним банком України і Центральним банком РФ про організацію розрахунків і платежів у зв'язку з введенням українського карбованця,,Київ,редакція 1998,1998,режим розрахунків і платежі за товари та послуги  між  фізичними  та юридичними  особами  України  і  Російської Федерації в звязку з введенням карбованця,,,,торгово-економічні відносини,10,10,https://zakon.rada.gov.ua/laws/show/643_945,не вказані умови розривання,неактуальні,виконано,міжвідомчі,угода, 643_152,,,
22,643_700,19.10.1992,23,1992,Угода між Урядом України і Урядом РФ про спільне використання і охорону транскордонних водних об’єктів від 19.10.92.,врегулювання заходів водного господарства прикордонних водних об'єктів,Київ,чинний,,"не  будуть  без домовленості  проводити  заходи  в  галузі  водного  господарства, визначають  принцип 
співробітництва щодо регулярного обміну інформацією, прогнозами по гідрології  та  якості  прикордонних  водних  систем; ",,водне господарство,врегулювання заходів водного господарства прикордонних водних об'єктів,прикордонні відносини,10,10,https://zakon.rada.gov.ua/laws/show/643_700,5 років з річним розриванням,актуальні,,міжурядові,угода,,,,
23, 643_172,22.10.1992,24,1992,Угода між Урядом України і Урядом РФ про взаємне встановлення торгових представництв від 22.10.92.,торгово-економічних зв'язки між країнами через посередництво торгово-економічних представництв,Москва,чинний,,cторони взаємно засновують до кінця 1992 року в столицях обох держав торгові представництва,немає,торгово-економічні відносини,торгово-економічних зв'язки між країнами через посередництво торгово-економічних представництв,торгово-економічні відносини,10,10,https://zakon.rada.gov.ua/laws/show/643_172,не вказані умови розривання,актуальні,виконано,міжурядові,угода,,,,
24, 643_025,22.10.1992,25,1992,Торговельна угода між Урядом України та Урядом РФ,,Москва,чинний,," імпорт та   експорт   товарів   між   двома   країнами   буде здійснюватись   згідно   з   положеннями   цієї  Угоди  на  основі контрактів, укладених між російськими та українськими фізичними та юридичними особами, у яких є повноваження для цих цілей.",,,,торгово-економічні відносини,10,10,https://zakon.rada.gov.ua/laws/show/643_025,безстроові з трьохмісячним розриванням,неактуальні,,міжнародні,угода, 643_177,,,
25,643_069,22.10.1992,26,1992,"Угода між Урядом України та Урядом РФ про співробітництво об'єднань, організацій, організацій, підприємств України та РФ при здійсненні будівництва об'єктів в третіх країнах",,Москва,редакція 2001,2001,"Сторони будуть здійснювати регулювання зовнішньоекономічної діяльності в області спорудження об'єктів у третіх країнах на принципах взаємної вигоди і ненанесения економічного збитку один
одному",,,,торгово-економічні відносини,10,10,https://zakon.rada.gov.ua/laws/show/643_069,не вказані умови розривання,неактуальні,виконано,міжнародні,угода,643_018 ,,,
26,643_027,02.11.1992,27,1992,"Угода про зобов’язання урядів України і РФ, пов’язаних з гарантіями забезпечення і погашення банківського технічного кредиту від 02.11.92.",збільшення суми технічного кредиту Україні,Москва,чинний,,"збільшення технічного кредиту  Міндержресурсів  України  з  ""Росконтрактом""  Угоди на централізовані поставки  з  України  найважливіших  (стратегічних) 
товарів за погодженим переліком, обсягами та цінами. ",,кредитно-фінансове співробітництво,збільшення суми технічного кредиту Україні,заборгованості,5,5,http://zakon.rada.gov.ua/laws/show/643_027,не вказані умови розривання,неактуальні,виконано,міжурядові,угода,643_900 ,,,
27,643_028,17.11.1992,28,1992,Угода про організацію міжбанківських розрахунків і платежів у зв'язку з введенням українського карбованця,відкриття міжбанківських кореспондентських рахунків,Москва,редакція 1998,1998,Сторони визнали необхідність врегулювання питань кредитно-розрахункових відносин між Російською Федерацією та Україна,,кредитно-розрахункові,,заборгованості,5,5,https://zakon.rada.gov.ua/laws/show/643_028,не вказані умови розривання,неактуальні,виконано,міжнародні,угода,643_027,643_900 ,,
28, 643_023,23.11.1992,29,1992,Протокол між Урядом України і Урядом РФ з питань зовнішнього боргу і активів колишнього СРСР від 23.11.92.,закордонна власність від СРСР,Москва,чинний,,"Сторони домовились  про передачу  Україні  окремих будівель і приміщень для розташування і нормального функціонування дипломатичних,  консульських і торгових представництв  з  прилеглими до них земельними ділянками,  а також 
іншого майна",,закордонна власність СРСР,закордонна власність від СРСР,заборгованості,5,5,http://zakon.rada.gov.ua/laws/show/643_023,не вказані умови розривання,неактуальні,порушується,міжурядові,протокол, 643_018,,,
29,643_030,27.11.1992,30,1992,Угода між Урядом України і Урядом РФ про забезпечення розрахунків за взаємні поставки товарів для державних потреб від 27.11.92.,товарні поставки,Москва,чинний,,"Центральний банк Російської Федерації здійснить з
Національним банком України обмін 40 млрд. Рублів на 60 млрд.
українських карбованців ",,,товарні поставки,торгово-економічні відносини,10,10,http://zakon.rada.gov.ua/laws/show/643_030,до виконання умов ,неактуальні,виконано,міжурядові,угода,,,,
30,?,12.12.1992,31,1992,Угода та Протокол до неї між Мінмашпромом України і Мінпромом РФ про співробітництво в авіадвигунобудуванні від 12.12.92.,авіадвигунобудування,,немає в базі,,,немає,авіація,авіадвигунобудування,авіація,4,-1,,,неактуальні,,міжвідомчі,угода ,,,,
31, 643_262,16.12.1992,32,1992,Угода між Урядом України і Урядом РФ про спільне виробництво парогазових установок для теплових електростанцій від 16.12.92.,створення проектів з розробки теплових електростанцій,Москва,чинний,,"створення екологічно чистих технологій на основі створюваних 
паро-газових  установок  під час будівництва нових і реконструкції 
діючих теплових електростанцій в Україні та в Росіїстворення екологічно чистих технологій на основі створюваних 
паро-газових  установок  під час будівництва нових і реконструкції 
діючих теплових електростанцій в Україні та в Росіїстворення екологічно чистих технологій на основі створюваних 
паро-газових  установок  під час будівництва нових і реконструкції 
діючих теплових електростанцій в Україні та в Росіїстворення екологічно чистих технологій на основі створюваних 
паро-газових  установок  під час будівництва нових і реконструкції 
діючих теплових електростанцій в Україні та в Росіїстворення екологічно чистих технологій на основі створюваних 
паро-газових  установок  під час будівництва нових і реконструкції 
діючих теплових електростанцій в Україні та в Росіїстворення екологічно чистих технологій на основі створюваних 
паро-газових  установок  під час будівництва нових і реконструкції 
діючих теплових електростанцій в Україні та в Росіїстворення екологічно чистих технологій на основі створюваних 
паро-газових  установок  під час будівництва нових і реконструкції 
діючих теплових електростанцій в Україні та в Росії",,електроенергетика,створення проектів з розробки теплових електростанцій,паливно-енергетична галузь,3,3,https://zakon.rada.gov.ua/laws/show/643_262,безстроково з шестимісячним розриванням,актуальні,порушується,міжурядові,угода,,,,
32,643_031,22.12.1992,33,1992,"Угода між Урядом України і Урядом РФ про реалізацію на території України програми житлового будівництва для виведених з Германії органів управління, частин і підрозділів Західної групи військ від 22.12.92",цивільне житло для військових з ФРН,Москва,чинний,,"на територію України виведено в запланованому  порядку 
7,4%  офіцерів  та  прапорщиків від загальної чисельності Західної 
групи військ. Вивід військ повністю завершено.на територію України виведено в запланованому  порядку 
7,4%  офіцерів  та  прапорщиків від загальної чисельності Західної 
групи військ. Вивід військ повністю завершено.на територію України виведено в запланованому  порядку 
7,4%  офіцерів  та  прапорщиків від загальної чисельності Західної 
групи військ. Вивід військ повністю завершено.на територію України виведено в запланованому  порядку 
7,4%  офіцерів  та  прапорщиків від загальної чисельності Західної 
групи військ. Вивід військ повністю завершено.на територію України виведено в запланованому  порядку 
7,4%  офіцерів  та  прапорщиків від загальної чисельності Західної 
групи військ. Вивід військ повністю завершено.на територію України виведено в запланованому  порядку 
7,4%  офіцерів  та  прапорщиків від загальної чисельності Західної 
групи військ. Вивід військ повністю завершено.на територію України виведено в запланованому  порядку 
7,4%  офіцерів  та  прапорщиків від загальної чисельності Західної 
групи військ. Вивід військ повністю завершено.",,соціальна політика,цивільне житло для військових з ФРН,культурно-гуманітарна сфера,12,12,https://zakon.rada.gov.ua/laws/show/643_031,не вказані умови розривання,неактуальні,виконано,міжурядові,угода,,,,
33,?,01.01.1993,1,1993,Рішення Президента України і Президента РФ про призначення командуюючого ЧФ ,,,припинений,,,немає,,,Чорноморський флот та Азовське море,1,,,,неактуальні,виконано,,,,,,
34,643_034,14.01.1993,2,1993,"Договір про продовження на 1993 рік дії Угоди про принципи торгово-економічного, науково-технічного та культурного співробітництва між Урядом України та Урядом Москви",,Москва,поточна редакція,,"номенклатура, обсяги, терміни та інші питання взаємних поставок, виконання робіт і надання послуг в подальшому визначаються безпосередньо постачальниками і споживачами на основі укладених договорів і контрактів в межах встановлених квот",,,,торгово-економічні відносини,10,,https://zakon.rada.gov.ua/laws/show/643_034,на 1993 рік,неактуальні,виконано,міжнародні,угода,0,,,
35, 643_068,14.01.1993,3,1993,Угода між Урядом України та Урядом Російської Федерації про неторгові платежі (укр/рос),взаєморозрахунки з нетоварних операцій,Москва,чинний,,"можливість вільного  переказу  грошей  в  національних  валютах  з 
неторгових операцій,  перелік і умови здійснення яких визначаються 
міністерствами фінансів Сторін можливість вільного  переказу  грошей  в  національних  валютах  з 
неторгових операцій,  перелік і умови здійснення яких визначаються 
міністерствами фінансів Сторін можливість вільного  переказу  грошей  в  національних  валютах  з 
неторгових операцій,  перелік і умови здійснення яких визначаються 
міністерствами фінансів Сторін можливість вільного  переказу  грошей  в  національних  валютах  з 
неторгових операцій,  перелік і умови здійснення яких визначаються 
міністерствами фінансів Сторін можливість вільного  переказу  грошей  в  національних  валютах  з 
неторгових операцій,  перелік і умови здійснення яких визначаються 
міністерствами фінансів Сторін можливість вільного  переказу  грошей  в  національних  валютах  з 
неторгових операцій,  перелік і умови здійснення яких визначаються 
міністерствами фінансів Сторін можливість вільного  переказу  грошей  в  національних  валютах  з 
неторгових операцій,  перелік і умови здійснення яких визначаються 
міністерствами фінансів Сторін ",,економіка,взаєморозрахунки з нетоварних операцій,торгово-економічні відносини,10,10,http://zakon.rada.gov.ua/laws/show/643_068,безстроково з трьохмісячним розриванням,актуальні,,міжурядові,угода,643_901 ,,,
36,643_033,14.01.1993,4,1993,Угода між Урядом України і Урядом РФ про науково-технічне і економічне співробітництво в галузі атомної енергетики від 14.01.93.,атомна енергетика,Москва,чинний,," метою вироблення погодженої політики в галузі  розвитку  атомної  енергетики  своїх   держав,   створення 
сприятливих  умов  для  грошових розрахунків за роботи,  послуги і продукцію,  у  відповідності  з  потребами   і   пріоритетами   їх 
національних ядерних програм метою вироблення погодженої політики в галузі  розвитку  атомної  енергетики  своїх   держав,   створення 
сприятливих  умов  для  грошових розрахунків за роботи,  послуги і продукцію,  у  відповідності  з  потребами   і   пріоритетами   їх 
національних ядерних програм метою вироблення погодженої політики в галузі  розвитку  атомної  енергетики  своїх   держав,   створення 
сприятливих  умов  для  грошових розрахунків за роботи,  послуги і продукцію,  у  відповідності  з  потребами   і   пріоритетами   їх 
національних ядерних програм метою вироблення погодженої політики в галузі  розвитку  атомної  енергетики  своїх   держав,   створення 
сприятливих  умов  для  грошових розрахунків за роботи,  послуги і продукцію,  у  відповідності  з  потребами   і   пріоритетами   їх 
національних ядерних програм метою вироблення погодженої політики в галузі  розвитку  атомної  енергетики  своїх   держав,   створення 
сприятливих  умов  для  грошових розрахунків за роботи,  послуги і продукцію,  у  відповідності  з  потребами   і   пріоритетами   їх 
національних ядерних програм метою вироблення погодженої політики в галузі  розвитку  атомної  енергетики  своїх   держав,   створення 
сприятливих  умов  для  грошових розрахунків за роботи,  послуги і продукцію,  у  відповідності  з  потребами   і   пріоритетами   їх 
національних ядерних програм метою вироблення погодженої політики в галузі  розвитку  атомної  енергетики  своїх   держав,   створення 
сприятливих  умов  для  грошових розрахунків за роботи,  послуги і продукцію,  у  відповідності  з  потребами   і   пріоритетами   їх 
національних ядерних програм",,атомна енергетика,атомна енергетика,атомна енергетика,7,7,http://zakon.rada.gov.ua/laws/show/643_033,безстроково,актуальні,порушується,міжурядові,угода,,,,https://www.ukrinform.ua/rubric-economy/2406172-atomna-energetika-ukraini-casu-dla-subektivnih-ocinok-ne-zalisilosa.html
